Date,Total_Sales_Units,Location_ID
2023-11-07,168,2
2023-01-05,113,1
2023-11-08,157,1
2024-09-02,79,1
2023-10-16,31,1
2024-03-19,147,2
2023-09-20,134,1
2023-01-02,89,2
2024-01-26,70,2
2023-04-06,159,1
2024-03-30,114,1
2024-09-12,112,1
2023-09-16,51,1
2024-04-11,120,1
2024-02-16,86,3
2024-05-20,105,2
2023-09-24,44,3
2024-05-24,71,2
2023-04-04,95,2
2023-06-24,114,2
2023-07-30,83,2
2023-07-04,189,3
2023-10-21,30,2
2023-08-03,53,1
2023-02-24,196,1
2024-07-03,156,1
2023-12-08,68,2
2024-06-10,188,3
2023-02-11,128,1
2024-06-29,80,3
2023-06-02,13,1
2024-09-13,127,1
2024-04-08,157,1
2023-03-28,19,3
2024-09-23,133,2
2023-11-27,52,2
2023-06-18,10,1
2024-08-23,54,3
2022-12-24,109,2
2022-11-16,181,1
2023-07-16,32,2
2024-01-10,104,3
2023-06-01,146,3
2023-05-09,146,3
2024-08-15,95,2
2024-05-01,161,3
2023-08-16,71,3
2023-12-31,42,3
2024-03-24,189,3
2022-11-22,194,2
2023-08-26,75,2
2022-10-10,79,2
2022-12-06,11,2
2024-01-21,57,3
2024-05-21,161,3
2022-12-08,150,1
2023-06-24,18,2
2023-06-27,123,3
2024-03-11,108,2
2022-11-11,179,2
2023-06-16,199,2
2023-03-04,63,2
2023-09-29,79,3
2024-05-05,63,3
2024-04-03,147,2
2024-02-06,115,2
2024-02-23,86,2
2024-06-18,78,1
2024-07-24,87,1
2022-10-16,53,3
2023-12-12,146,2
2023-10-15,197,3
2024-08-05,120,2
2024-02-01,48,3
2024-01-23,147,1
2023-12-14,85,2
2023-01-21,196,3
2023-06-19,193,3
2024-01-18,18,1
2024-02-18,78,1
2023-12-16,155,1
2024-08-19,131,2
2023-09-20,154,2
2023-08-12,140,3
2024-02-26,169,1
2022-11-15,92,3
2023-12-30,163,1
2023-12-01,26,3
2023-05-09,49,1
2024-08-30,140,1
2024-04-21,110,3
2022-12-27,88,3
2023-11-18,191,2
2024-04-02,110,2
2023-09-05,44,2
2024-07-11,199,3
2023-02-01,160,3
2023-09-28,23,3
2023-12-26,87,1
2023-10-14,59,1
2023-12-20,122,3
2023-08-21,66,3
2024-01-15,171,3
2023-01-18,169,2
2024-09-07,126,1
2022-10-26,138,3
2023-09-21,92,1
2023-10-16,56,1
2024-07-04,53,2
2023-02-05,128,3
2024-03-08,139,1
2023-04-17,193,1
2023-05-12,147,1
2024-07-27,54,2
2023-09-30,15,1
2023-02-28,37,2
