Date,Temperature_C,Precipitation_mm,Location_ID
2023-04-30,27.0,12.26,1
2023-08-23,20.78,8.22,1
2023-05-18,28.6,6.88,1
2024-09-09,25.06,15.47,1
2023-04-10,17.89,0.91,1
2024-04-01,30.12,13.75,1
2024-09-20,24.16,5.07,1
2024-05-12,23.41,6.01,1
2023-11-02,19.51,0.97,1
2023-03-07,27.33,1.98,1
2024-04-17,18.59,2.63,1
2024-03-28,17.03,19.42,1
2022-12-12,13.22,14.9,1
2023-04-04,32.83,10.32,1
2022-12-16,32.21,11.32,1
2024-06-28,20.33,7.21,1
2024-05-20,15.27,7.28,1
2024-03-11,12.16,4.2,1
2024-03-10,21.74,9.1,1
2024-06-29,17.08,19.68,1
2023-10-15,12.49,9.62,1
2024-09-18,19.78,4.63,1
2023-10-02,15.76,8.5,1
2023-03-01,17.53,15.98,1
2023-03-26,25.12,16.26,1
2024-07-14,33.82,1.56,1
2024-09-26,12.33,12.68,1
2024-04-22,31.44,3.04,1
2022-12-28,33.78,16.35,1
2022-09-30,11.71,6.23,1
2024-09-02,27.62,18.12,1
2022-11-07,25.26,8.71,1
2023-09-08,31.8,2.0,1
2024-07-26,30.99,10.37,1
2023-01-07,21.08,16.58,1
2024-06-02,34.8,1.9,1
2024-06-04,27.16,19.8,1
2022-11-10,32.23,2.87,1
2023-07-08,34.83,11.47,1
2023-10-23,28.98,18.1,1
2023-01-09,30.41,17.03,1
2022-10-15,21.32,15.18,1
2023-06-14,30.23,11.98,1
2024-07-31,30.72,2.72,1
2023-01-23,11.05,3.21,1
2024-04-11,33.4,14.08,1
2024-06-03,25.01,18.8,1
2023-09-22,23.02,19.22,1
2022-11-27,25.91,17.94,1
2022-11-22,20.41,4.84,1
2024-08-04,29.92,5.7,1
2024-05-30,26.01,13.28,1
2023-12-28,13.18,3.83,1
2023-08-19,21.49,1.63,1
2024-09-05,14.0,18.39,1
2024-06-26,12.43,16.45,1
2023-08-25,10.43,12.15,1
2024-06-24,31.25,16.78,1
2024-04-11,13.32,11.64,1
2023-10-10,28.36,5.37,1
2022-12-16,30.34,8.27,1
2024-06-27,12.68,0.1,1
2024-06-16,19.86,18.59,1
2023-08-26,33.36,3.89,1
2022-11-02,29.53,11.46,1
2024-04-16,18.35,12.14,1
2024-02-05,32.26,2.17,1
2024-07-18,29.24,19.53,1
2024-04-05,30.95,10.05,1
2024-05-22,31.68,5.62,1
2024-09-05,30.48,4.84,1
2023-12-28,17.33,7.65,1
2023-10-08,27.77,14.43,1
2023-03-13,28.99,19.79,1
2022-11-18,21.98,18.03,1
2023-01-20,19.56,8.86,1
2022-11-03,25.59,18.52,1
2024-03-02,22.02,9.94,1
2023-05-02,16.58,11.87,1
2023-03-31,33.73,4.0,1
2024-07-15,33.88,10.28,1
2023-09-23,23.5,2.92,1
2023-10-09,34.23,12.3,1
2023-11-27,12.94,4.58,1
2023-01-27,12.32,7.84,1
